"BORROWER_ID","EMP_LENGTH","EMP_TITLE","HOME_OWNERSHIP","ANNUAL_INCOME"
951457,"10+ years","United Methodist Church","OWN",51600
903783,"10+ years","Walmart","OWN",42000
902476,"3 years","valu home centers","OWN",12582
897433,"< 1 year","PayPal","RENT",26928
942573,"4 years","Chapman Medical Center","RENT",36000
708445,"5 years","CH2M Hill","RENT",92400
923687,"8 years","zion lutheran school","RENT",45600
1234849,"5 years","Jefferson Parish Public Schools","RENT",82400
761837,"1 year","Shentel","RENT",31200
906814,"4 years","Cornerstone Physician Staffing","RENT",140000
1089020,"10+ years","laborers local  #91","RENT",79968
940602,"10+ years","United States Postal Service","MORTGAGE",72000
857273,"3 years","Department of Children & Families","RENT",53000
670169,"3 years","USDA/NRCS","MORTGAGE",63945
754831,"10+ years","SAP America Inc","MORTGAGE",108396
714815,"10+ years","City of Thousand Oaks","MORTGAGE",72000
916754,"5 years","US BORDER PATROL","MORTGAGE",34200
925894,"1 year","Wal-Mart D.C.","MORTGAGE",37680
840295,"7 years","Alamosa Public Schools","MORTGAGE",27600
735771,"6 years","PNC Mortgage","OWN",90000
979931,"< 1 year","USPS","OWN",55000
841969,"5 years","Vanguard Group","RENT",45000
788847,"6 years","City of Lynchburg","RENT",30600
765809,"2 years","Capgemini","RENT",64000
801616,"4 years","CVS","RENT",18000
717046,"5 years","walmart","MORTGAGE",27000
990553,"10+ years","His Brush Painting Company","MORTGAGE",84000
1003122,"3 years","Southeastern Freight Lines","MORTGAGE",55200
1207994,"2 years","medtech group","MORTGAGE",88000
1034584,"< 1 year","JCJ Architecture","MORTGAGE",72500
954624,"2 years","Georgetown College","RENT",44400
967982,"1 year","DOL Maint Div","MORTGAGE",68400
949031,"10+ years","extriors by brady","RENT",57600
995023,"10+ years","Woodward Hrt","MORTGAGE",72000
1304821,"10+ years","Value Air","OWN",50000
1291365,"7 years","GREG BARRETT DRYWALL","RENT",34000
1302790,"7 years","CA Technologies","RENT",81000
1302549,"3 years","Malvern School of Medford","RENT",33000
1294350,"2 years","Feld Entertainment","MORTGAGE",36000
1301534,"3 years","BMW","RENT",34000
1299754,"6 years","WA State vDSHS","MORTGAGE",69600
1300453,"8 years","Hillstone Restaurant Group","RENT",135000
1292952,"4 years","Dream Town","RENT",70000
1299593,"5 years","Prairie du Chien Memorial Hospital","RENT",100000
1299463,"3 years","Qualtek Manufacturing","RENT",43680
1299180,"5 years","chevron station","RENT",32000
1296243,"4 years","David Dussault Plumbing&Heating","RENT",42000
1296451,"10+ years","Associated Fresh Market","RENT",48000
1295378,"8 years","Waterstone Mortgage Corp.","MORTGAGE",95000
1294520,"10+ years","Allied Waste","MORTGAGE",49000
1291176,"7 years","antico stone","RENT",35000
1292165,"1 year","Medical Associates of Brevard","RENT",30000
1292925,"10+ years","Gannett Publishing Services","MORTGAGE",77400
1292700,"< 1 year","cargill","MORTGAGE",90000
1292120,"4 years","Ford Atlantic Fastener Corporation","RENT",65000
1291723,"4 years","La Costa Resort and Spa","MORTGAGE",60000
1291136,"1 year","Commerce Lexington","RENT",38200
1290775,"2 years","Department of Homeland Security","RENT",91500
1290037,"3 years","Dr. Robert Hood, DDS","RENT",50000
1283480,"10+ years","Wrenshall Public School District #100","MORTGAGE",59000
1289248,"7 years","","RENT",100000
491016,"4 years","Jennifer Convertibles","MORTGAGE",35400
630129,"3 years","County of San Diego DA's Office","MORTGAGE",113000
653628,"5 years","burnet county public defenmders office","MORTGAGE",53500
999017,"5 years","GEICO","MORTGAGE",45500
782873,"2 years","Tropicana/Naked Juice","MORTGAGE",50000
1029869,"2 years","lake sumter ems","MORTGAGE",50000
330591,"10+ years","Web Service Company LLC","MORTGAGE",55000
944393,"3 years","Creative Financial Group","OWN",48000
365126,"2 years","Industrial Source","RENT",31200
318659,"3 years","Stevens Institute of Technology","RENT",15000
1270859,"6 years","morton grinding, inc.","RENT",32994
834307,"8 years","harbour lights restaurant","RENT",40000
502531,"5 years","Mikita Door and Window","RENT",35004
1076413,"5 years","Cell Nation of Grameen Woodside Inc.","RENT",65000
296368,"10+ years","University of Washington","RENT",109908
1083734,"10+ years","sears","MORTGAGE",45000
245715,"< 1 year","shands hospital at the university of florida","MORTGAGE",101400
223916,"3 years","shweta investments","MORTGAGE",175000
210254,"2 years","open text corp","MORTGAGE",110000
153468,"2 years","liberty denim inc","MORTGAGE",52000
164764,"10+ years","Automatic Data Processing Inc.","RENT",40000
229894,"1 year","Scottsdale Healthcare","RENT",25000
255095,"1 year","Goldman Sachs Group","RENT",100000
163621,"3 years","Washington State Employment Security Department","RENT",62000
243996,"2 years","Collegiate Development Services","RENT",49200
122398,"1 year","PerTrac Financial Solutions","RENT",60000
970876,"10+ years","Clearfield Hospital","MORTGAGE",32000
1013462,"10+ years","Seattle Public Utilities","MORTGAGE",65253
829039,"10+ years","Weissman Nowack Curry & Wilco, PC","MORTGAGE",60000
907383,"10+ years","JM Manufacturing Co.","MORTGAGE",100000
585102,"10+ years","UC Regents","MORTGAGE",91000
1063099,"10+ years","St.Joseph Health Center","MORTGAGE",90000
1057091,"10+ years","PDX Inc.","MORTGAGE",48000
648811,"10+ years","Aldine ISD","MORTGAGE",53360
379077,"10+ years","American Airlines","MORTGAGE",150000
450498,"2 years","Data Specialties Inc.","MORTGAGE",120000
1042330,"4 years","Carnegie Mellon University","MORTGAGE",79100
511452,"4 years","Situs Ergonomics","MORTGAGE",45760
1238206,"5 years","Solstas Lab Partners","MORTGAGE",30576
619971,"5 years","OATI","MORTGAGE",77000
1193195,"6 years","Independence Excavating, Inc.","MORTGAGE",90000
675544,"8 years","City of Los Angeles","MORTGAGE",88000
1064940,"9 years","Mount St. Mary's University","MORTGAGE",90000
289570,"9 years","Maricopa County","MORTGAGE",70000
840504,"< 1 year","Facebook","MORTGAGE",125000
834287,"10+ years","Leesman Lighting","MORTGAGE",90000
989186,"10+ years","Fred F. Groff Funeral Home","MORTGAGE",60000
1203706,"10+ years","APlus Net Solutions","MORTGAGE",57700
714733,"10+ years","grda","MORTGAGE",60000
735176,"10+ years","city of white plains","MORTGAGE",90000
594659,"4 years","Spring Psychological Assoc","MORTGAGE",40000
774437,"4 years","Sanden","MORTGAGE",58000
1236321,"6 years","Mt. Zion Baptist Church","MORTGAGE",43000
888486,"6 years","Ransom Memorial Hospital","MORTGAGE",32400
1235264,"7 years","FIRST RF Corp.","MORTGAGE",98280
384383,"< 1 year","Fujitsu Consulting","MORTGAGE",150000
365188,"1 year","Lockheed Martin","MORTGAGE",98406
390712,"10+ years","SC Law Enforcement Division","MORTGAGE",60000
1267154,"10+ years","FG Products Inc","MORTGAGE",73000
441923,"3 years","IBM","MORTGAGE",40000
1076128,"7 years","PING Golf","MORTGAGE",48800
792551,"2 years","Galesburg Cottage Hospital","MORTGAGE",60000
1281433,"1 year","LAMPE CHRYSLER DODGE JEEP RAM","MORTGAGE",55000
637783,"10+ years","Milliken & Co.","MORTGAGE",84000
954830,"10+ years","Horizon Blue Cross Blue Shield of NJ","MORTGAGE",135000
893694,"10+ years","Metrohealth Medical Center","MORTGAGE",55000
698665,"10+ years","Pierce County","MORTGAGE",72000
875134,"4 years","Zengo Restaurant","MORTGAGE",60000
428872,"5 years","SD School F/T Blind and Visually Impaired","MORTGAGE",42200
375137,"7 years","EWI Worldwide","MORTGAGE",52000
1192643,"7 years","Jerry's Sandwiches LLC","MORTGAGE",58000
1093001,"8 years","ASM","MORTGAGE",88000
885043,"9 years","Progression inc","MORTGAGE",108000
1259814,"10+ years","UHS Hospitals, Inc.","MORTGAGE",45136
780094,"3 years","Education Management Systems","MORTGAGE",70000
307516,"4 years","Sears Holdings Corporation","MORTGAGE",39000
1268698,"8 years","Woodland Heights","MORTGAGE",60000
1282417,"< 1 year","Woodbolt Distribution","MORTGAGE",90000
285732,"< 1 year","Wachovia Corp.","MORTGAGE",53000
573525,"10+ years","JKR Defalco Advertising","MORTGAGE",154000
294681,"3 years","Schiff Hardin","MORTGAGE",205000
381438,"4 years","Becton Dickinson","MORTGAGE",55000
628974,"6 years","Sheet Metal Supply","MORTGAGE",106000
376931,"1 year","HOMES Inc.","MORTGAGE",46500
1287739,"8 years","Airlines Reporting Corporation","MORTGAGE",118000
268788,"< 1 year","AWK","MORTGAGE",41000
767870,"10+ years","St Charles City Co Library","MORTGAGE",96000
394526,"1 year","Aquatic Sales Solutions, Inc","MORTGAGE",53000
630527,"10+ years","international fire equipment","MORTGAGE",100000
655099,"10+ years","Symantec","MORTGAGE",153000
581804,"4 years","peneske","MORTGAGE",144000
500595,"5 years","City of Seattle","MORTGAGE",121353
555119,"3 years","PMF, Inc.","MORTGAGE",46800
624140,"10+ years","General Motors","MORTGAGE",86400
565088,"6 years","DELL Inc","MORTGAGE",65000
596560,"10+ years","Chevron","MORTGAGE",156000
591269,"2 years","Centro Civico of Amsterdam","MORTGAGE",53832
1060086,"7 years","BAE Systems","MORTGAGE",63000
1003872,"9 years","Colfax Corporation","MORTGAGE",180000
634468,"10+ years","Pizza Restaurant","MORTGAGE",38000
593504,"2 years","Wedge Manufacturing","MORTGAGE",35360
1131741,"4 years","Chrome Deposit Corperation","MORTGAGE",35000
603697,"10+ years","Bethune-Cookman University","MORTGAGE",83000
509717,"4 years","Allstate Insurance","MORTGAGE",50000
599161,"4 years","Consolidated Health Care Services","MORTGAGE",87000
741636,"6 years","Stateof Connecticut","MORTGAGE",53000
374549,"< 1 year","Colorado Mountain College","OTHER",50000
