"DATEKEY","DAY","MONTH","YEAR","QUARTER","DAYOFWEEK","MONTHNAME","ISWEEKEND"
30-OCT-2021,30,10,2021,4,"Saturday ","October  ","Y"
31-OCT-2021,31,10,2021,4,"Sunday   ","October  ","Y"
01-NOV-2021,1,11,2021,4,"Monday   ","November ","N"
02-NOV-2021,2,11,2021,4,"Tuesday  ","November ","N"
03-NOV-2021,3,11,2021,4,"Wednesday","November ","N"
04-NOV-2021,4,11,2021,4,"Thursday ","November ","N"
05-NOV-2021,5,11,2021,4,"Friday   ","November ","N"
06-NOV-2021,6,11,2021,4,"Saturday ","November ","Y"
07-NOV-2021,7,11,2021,4,"Sunday   ","November ","Y"
08-NOV-2021,8,11,2021,4,"Monday   ","November ","N"
09-NOV-2021,9,11,2021,4,"Tuesday  ","November ","N"
10-NOV-2021,10,11,2021,4,"Wednesday","November ","N"
11-NOV-2021,11,11,2021,4,"Thursday ","November ","N"
12-NOV-2021,12,11,2021,4,"Friday   ","November ","N"
13-NOV-2021,13,11,2021,4,"Saturday ","November ","Y"
14-NOV-2021,14,11,2021,4,"Sunday   ","November ","Y"
15-NOV-2021,15,11,2021,4,"Monday   ","November ","N"
16-NOV-2021,16,11,2021,4,"Tuesday  ","November ","N"
17-NOV-2021,17,11,2021,4,"Wednesday","November ","N"
18-NOV-2021,18,11,2021,4,"Thursday ","November ","N"
19-NOV-2021,19,11,2021,4,"Friday   ","November ","N"
20-NOV-2021,20,11,2021,4,"Saturday ","November ","Y"
21-NOV-2021,21,11,2021,4,"Sunday   ","November ","Y"
22-NOV-2021,22,11,2021,4,"Monday   ","November ","N"
23-NOV-2021,23,11,2021,4,"Tuesday  ","November ","N"
24-NOV-2021,24,11,2021,4,"Wednesday","November ","N"
25-NOV-2021,25,11,2021,4,"Thursday ","November ","N"
26-NOV-2021,26,11,2021,4,"Friday   ","November ","N"
27-NOV-2021,27,11,2021,4,"Saturday ","November ","Y"
28-NOV-2021,28,11,2021,4,"Sunday   ","November ","Y"
29-NOV-2021,29,11,2021,4,"Monday   ","November ","N"
30-NOV-2021,30,11,2021,4,"Tuesday  ","November ","N"
01-DEC-2021,1,12,2021,4,"Wednesday","December ","N"
02-DEC-2021,2,12,2021,4,"Thursday ","December ","N"
03-DEC-2021,3,12,2021,4,"Friday   ","December ","N"
04-DEC-2021,4,12,2021,4,"Saturday ","December ","Y"
05-DEC-2021,5,12,2021,4,"Sunday   ","December ","Y"
06-DEC-2021,6,12,2021,4,"Monday   ","December ","N"
07-DEC-2021,7,12,2021,4,"Tuesday  ","December ","N"
08-DEC-2021,8,12,2021,4,"Wednesday","December ","N"
09-DEC-2021,9,12,2021,4,"Thursday ","December ","N"
10-DEC-2021,10,12,2021,4,"Friday   ","December ","N"
11-DEC-2021,11,12,2021,4,"Saturday ","December ","Y"
