"DIM_LOAN_ID","GRADE","SUB_GRADE","TERM","LOAN_STATUS","PURPOSE","VERIFICATION_STATUS"
1,"A","A1"," 36 months","Fully Paid","Debt consolidation","Source Verified"
2,"A","A1"," 36 months","Fully Paid","Debt consolidation","Verified"
3,"A","A1"," 36 months","Fully Paid","credit card","Not Verified"
4,"A","A1"," 36 months","Fully Paid","credit card","Source Verified"
5,"A","A1"," 36 months","Fully Paid","credit card","Verified"
6,"A","A1"," 36 months","Fully Paid","home improvement","Not Verified"
7,"A","A1"," 36 months","Fully Paid","car","Not Verified"
8,"A","A1"," 36 months","Fully Paid","car","Source Verified"
9,"A","A1"," 36 months","Fully Paid","car","Verified"
10,"A","A1"," 36 months","Charged Off","Debt consolidation","Not Verified"
11,"A","A1"," 36 months","Charged Off","Debt consolidation","Source Verified"
12,"A","A1"," 36 months","Charged Off","Debt consolidation","Verified"
13,"A","A1"," 36 months","Charged Off","car","Not Verified"
14,"A","A1"," 36 months","Charged Off","car","Source Verified"
15,"A","A1"," 36 months","Charged Off","car","Verified"
16,"A","A1"," 36 months","Charged Off","credit card","Not Verified"
17,"A","A1"," 36 months","Charged Off","credit card","Verified"
18,"A","A1"," 36 months","Charged Off","home improvement","Not Verified"
19,"A","A1"," 36 months","Charged Off","major purchase","Source Verified"
20,"A","A1"," 36 months","Charged Off","medical","Source Verified"
21,"A","A1"," 36 months","Charged Off","moving","Not Verified"
22,"A","A1"," 36 months","Charged Off","other","Not Verified"
23,"A","A1"," 36 months","Charged Off","vacation","Source Verified"
24,"A","A1"," 36 months","Charged Off","vacation","Verified"
25,"A","A1"," 36 months","Charged Off","wedding","Not Verified"
26,"A","A1"," 36 months","Fully Paid","Debt consolidation","Not Verified"
27,"A","A2"," 36 months","Fully Paid","Debt consolidation","Source Verified"
28,"A","A2"," 36 months","Fully Paid","Debt consolidation","Verified"
29,"A","A1"," 36 months","Fully Paid","home improvement","Source Verified"
30,"A","A1"," 36 months","Fully Paid","home improvement","Verified"
31,"A","A1"," 36 months","Fully Paid","house","Not Verified"
32,"A","A1"," 36 months","Fully Paid","house","Source Verified"
33,"A","A1"," 36 months","Fully Paid","house","Verified"
34,"A","A1"," 36 months","Fully Paid","major purchase","Not Verified"
35,"A","A1"," 36 months","Fully Paid","major purchase","Source Verified"
36,"A","A1"," 36 months","Fully Paid","major purchase","Verified"
37,"A","A1"," 36 months","Fully Paid","medical","Not Verified"
38,"A","A1"," 36 months","Fully Paid","medical","Source Verified"
39,"A","A1"," 36 months","Fully Paid","medical","Verified"
40,"A","A1"," 36 months","Fully Paid","moving","Not Verified"
41,"A","A1"," 36 months","Fully Paid","moving","Source Verified"
42,"A","A1"," 36 months","Fully Paid","moving","Verified"
43,"A","A1"," 36 months","Fully Paid","other","Not Verified"
44,"A","A1"," 36 months","Fully Paid","other","Source Verified"
45,"A","A1"," 36 months","Fully Paid","other","Verified"
46,"A","A1"," 36 months","Fully Paid","renewable_energy","Not Verified"
47,"A","A1"," 36 months","Fully Paid","renewable_energy","Source Verified"
48,"A","A1"," 36 months","Fully Paid","renewable_energy","Verified"
49,"A","A1"," 36 months","Fully Paid","small business","Not Verified"
50,"A","A1"," 36 months","Fully Paid","small business","Source Verified"
51,"A","A1"," 36 months","Fully Paid","small business","Verified"
52,"A","A1"," 36 months","Fully Paid","vacation","Not Verified"
53,"A","A1"," 36 months","Fully Paid","vacation","Source Verified"
54,"A","A1"," 36 months","Fully Paid","vacation","Verified"
55,"A","A1"," 36 months","Fully Paid","wedding","Not Verified"
56,"A","A1"," 36 months","Fully Paid","wedding","Source Verified"
57,"A","A1"," 36 months","Fully Paid","wedding","Verified"
58,"A","A2"," 36 months","Charged Off","Debt consolidation","Not Verified"
59,"A","A2"," 36 months","Charged Off","Debt consolidation","Source Verified"
60,"A","A2"," 36 months","Charged Off","Debt consolidation","Verified"
61,"A","A2"," 36 months","Charged Off","car","Not Verified"
62,"A","A2"," 36 months","Charged Off","car","Source Verified"
63,"A","A2"," 36 months","Charged Off","car","Verified"
64,"A","A2"," 36 months","Charged Off","credit card","Not Verified"
65,"A","A2"," 36 months","Charged Off","credit card","Source Verified"
66,"A","A2"," 36 months","Charged Off","credit card","Verified"
67,"A","A2"," 36 months","Charged Off","home improvement","Not Verified"
68,"A","A2"," 36 months","Charged Off","home improvement","Source Verified"
69,"A","A2"," 36 months","Charged Off","home improvement","Verified"
70,"A","A2"," 36 months","Charged Off","major purchase","Not Verified"
71,"A","A2"," 36 months","Charged Off","major purchase","Source Verified"
72,"A","A2"," 36 months","Charged Off","moving","Not Verified"
73,"A","A2"," 36 months","Charged Off","other","Not Verified"
74,"A","A2"," 36 months","Charged Off","other","Source Verified"
75,"A","A2"," 36 months","Charged Off","other","Verified"
76,"A","A2"," 36 months","Charged Off","small business","Not Verified"
77,"A","A2"," 36 months","Charged Off","small business","Source Verified"
78,"A","A2"," 36 months","Charged Off","small business","Verified"
79,"A","A2"," 36 months","Fully Paid","Debt consolidation","Not Verified"
80,"A","A2"," 36 months","Fully Paid","home improvement","Source Verified"
81,"A","A2"," 36 months","Fully Paid","home improvement","Verified"
82,"A","A2"," 36 months","Fully Paid","house","Not Verified"
83,"A","A2"," 36 months","Fully Paid","house","Source Verified"
84,"A","A2"," 36 months","Fully Paid","house","Verified"
85,"A","A2"," 36 months","Fully Paid","major purchase","Not Verified"
86,"A","A2"," 36 months","Fully Paid","medical","Verified"
87,"A","A2"," 36 months","Fully Paid","moving","Not Verified"
88,"A","A2"," 36 months","Fully Paid","moving","Source Verified"
89,"A","A2"," 36 months","Fully Paid","moving","Verified"
90,"A","A2"," 36 months","Fully Paid","other","Not Verified"
91,"A","A2"," 36 months","Fully Paid","other","Source Verified"
92,"A","A2"," 36 months","Fully Paid","major purchase","Source Verified"
93,"A","A2"," 36 months","Fully Paid","major purchase","Verified"
94,"A","A2"," 36 months","Fully Paid","medical","Not Verified"
95,"A","A2"," 36 months","Fully Paid","medical","Source Verified"
96,"A","A2"," 36 months","Fully Paid","car","Not Verified"
97,"A","A2"," 36 months","Fully Paid","car","Source Verified"
98,"A","A2"," 36 months","Fully Paid","car","Verified"
99,"A","A2"," 36 months","Fully Paid","credit card","Not Verified"
100,"A","A2"," 36 months","Fully Paid","credit card","Source Verified"
101,"A","A2"," 36 months","Fully Paid","credit card","Verified"
102,"A","A2"," 36 months","Fully Paid","educational","Not Verified"
103,"A","A2"," 36 months","Fully Paid","home improvement","Not Verified"
104,"A","A3"," 36 months","Fully Paid","Debt consolidation","Verified"
105,"A","A3"," 36 months","Fully Paid","car","Not Verified"
106,"A","A3"," 36 months","Fully Paid","car","Source Verified"
107,"A","A2"," 36 months","Fully Paid","other","Verified"
108,"A","A2"," 36 months","Fully Paid","renewable_energy","Source Verified"
109,"A","A2"," 36 months","Fully Paid","renewable_energy","Verified"
110,"A","A2"," 36 months","Fully Paid","small business","Not Verified"
111,"A","A2"," 36 months","Fully Paid","small business","Source Verified"
112,"A","A2"," 36 months","Fully Paid","small business","Verified"
113,"A","A2"," 36 months","Fully Paid","vacation","Not Verified"
114,"A","A2"," 36 months","Fully Paid","vacation","Source Verified"
115,"A","A2"," 36 months","Fully Paid","vacation","Verified"
116,"A","A2"," 36 months","Fully Paid","wedding","Not Verified"
117,"A","A2"," 36 months","Fully Paid","wedding","Source Verified"
118,"A","A2"," 36 months","Fully Paid","wedding","Verified"
119,"A","A2"," 60 months","Charged Off","Debt consolidation","Verified"
120,"A","A2"," 60 months","Fully Paid","Debt consolidation","Not Verified"
121,"A","A2"," 60 months","Fully Paid","Debt consolidation","Verified"
122,"A","A2"," 60 months","Fully Paid","car","Not Verified"
123,"A","A2"," 60 months","Fully Paid","credit card","Not Verified"
124,"A","A2"," 60 months","Fully Paid","major purchase","Not Verified"
125,"A","A2"," 60 months","Fully Paid","major purchase","Verified"
126,"A","A2"," 60 months","Fully Paid","medical","Source Verified"
127,"A","A2"," 60 months","Fully Paid","other","Source Verified"
128,"A","A3"," 36 months","Charged Off","Debt consolidation","Not Verified"
129,"A","A3"," 36 months","Charged Off","Debt consolidation","Source Verified"
130,"A","A3"," 36 months","Charged Off","Debt consolidation","Verified"
131,"A","A3"," 36 months","Charged Off","car","Not Verified"
132,"A","A3"," 36 months","Charged Off","car","Source Verified"
133,"A","A3"," 36 months","Charged Off","credit card","Not Verified"
134,"A","A3"," 36 months","Charged Off","credit card","Source Verified"
135,"A","A3"," 36 months","Charged Off","credit card","Verified"
136,"A","A3"," 36 months","Charged Off","educational","Verified"
137,"A","A3"," 36 months","Charged Off","home improvement","Not Verified"
138,"A","A3"," 36 months","Charged Off","home improvement","Verified"
139,"A","A3"," 36 months","Charged Off","major purchase","Not Verified"
140,"A","A3"," 36 months","Charged Off","major purchase","Source Verified"
141,"A","A3"," 36 months","Charged Off","major purchase","Verified"
142,"A","A3"," 36 months","Charged Off","medical","Not Verified"
143,"A","A3"," 36 months","Charged Off","medical","Verified"
144,"A","A3"," 36 months","Charged Off","moving","Not Verified"
145,"A","A3"," 36 months","Charged Off","moving","Source Verified"
146,"A","A3"," 36 months","Charged Off","moving","Verified"
147,"A","A3"," 36 months","Charged Off","other","Not Verified"
148,"A","A3"," 36 months","Charged Off","other","Source Verified"
149,"A","A3"," 36 months","Charged Off","other","Verified"
150,"A","A3"," 36 months","Charged Off","renewable_energy","Not Verified"
151,"A","A3"," 36 months","Charged Off","small business","Not Verified"
152,"A","A3"," 36 months","Charged Off","small business","Source Verified"
153,"A","A3"," 36 months","Charged Off","small business","Verified"
154,"A","A3"," 36 months","Charged Off","wedding","Verified"
155,"A","A3"," 36 months","Fully Paid","Debt consolidation","Not Verified"
156,"A","A3"," 36 months","Fully Paid","Debt consolidation","Source Verified"
157,"A","A3"," 36 months","Fully Paid","home improvement","Verified"
158,"A","A3"," 36 months","Fully Paid","house","Not Verified"
159,"A","A3"," 36 months","Fully Paid","house","Source Verified"
160,"A","A3"," 36 months","Fully Paid","house","Verified"
161,"A","A3"," 36 months","Fully Paid","major purchase","Not Verified"
162,"A","A3"," 36 months","Fully Paid","major purchase","Source Verified"
163,"A","A3"," 36 months","Fully Paid","major purchase","Verified"
164,"A","A3"," 36 months","Fully Paid","medical","Not Verified"
165,"A","A3"," 36 months","Fully Paid","other","Source Verified"
166,"A","A3"," 36 months","Fully Paid","other","Verified"
167,"A","A3"," 36 months","Fully Paid","renewable_energy","Source Verified"
168,"A","A3"," 36 months","Fully Paid","small business","Not Verified"
169,"A","A3"," 36 months","Fully Paid","medical","Source Verified"
170,"A","A3"," 36 months","Fully Paid","medical","Verified"
171,"A","A3"," 36 months","Fully Paid","moving","Not Verified"
172,"A","A3"," 36 months","Fully Paid","moving","Source Verified"
173,"A","A3"," 36 months","Fully Paid","moving","Verified"
174,"A","A3"," 36 months","Fully Paid","other","Not Verified"
175,"A","A3"," 36 months","Fully Paid","car","Verified"
176,"A","A3"," 36 months","Fully Paid","credit card","Not Verified"
177,"A","A3"," 36 months","Fully Paid","credit card","Source Verified"
178,"A","A3"," 36 months","Fully Paid","credit card","Verified"
179,"A","A3"," 36 months","Fully Paid","educational","Not Verified"
180,"A","A3"," 36 months","Fully Paid","educational","Verified"
181,"A","A3"," 36 months","Fully Paid","home improvement","Not Verified"
182,"A","A3"," 36 months","Fully Paid","home improvement","Source Verified"
183,"A","A4"," 36 months","Fully Paid","Debt consolidation","Source Verified"
184,"A","A3"," 36 months","Fully Paid","small business","Source Verified"
185,"A","A3"," 36 months","Fully Paid","small business","Verified"
186,"A","A3"," 36 months","Fully Paid","vacation","Not Verified"
187,"A","A3"," 36 months","Fully Paid","vacation","Source Verified"
188,"A","A3"," 36 months","Fully Paid","vacation","Verified"
189,"A","A3"," 36 months","Fully Paid","wedding","Not Verified"
190,"A","A3"," 36 months","Fully Paid","wedding","Source Verified"
191,"A","A3"," 36 months","Fully Paid","wedding","Verified"
192,"A","A3"," 60 months","Charged Off","other","Not Verified"
193,"A","A3"," 60 months","Fully Paid","Debt consolidation","Not Verified"
194,"A","A3"," 60 months","Fully Paid","Debt consolidation","Source Verified"
195,"A","A3"," 60 months","Fully Paid","Debt consolidation","Verified"
196,"A","A3"," 60 months","Fully Paid","car","Not Verified"
197,"A","A3"," 60 months","Fully Paid","car","Source Verified"
198,"A","A3"," 60 months","Fully Paid","car","Verified"
199,"A","A3"," 60 months","Fully Paid","credit card","Not Verified"
200,"A","A3"," 60 months","Fully Paid","credit card","Source Verified"
201,"A","A3"," 60 months","Fully Paid","credit card","Verified"
202,"A","A3"," 60 months","Fully Paid","home improvement","Not Verified"
203,"A","A3"," 60 months","Fully Paid","home improvement","Verified"
204,"A","A3"," 60 months","Fully Paid","major purchase","Not Verified"
205,"A","A3"," 60 months","Fully Paid","major purchase","Source Verified"
206,"A","A3"," 60 months","Fully Paid","major purchase","Verified"
207,"A","A3"," 60 months","Fully Paid","moving","Not Verified"
208,"A","A3"," 60 months","Fully Paid","moving","Verified"
209,"A","A3"," 60 months","Fully Paid","other","Not Verified"
210,"A","A3"," 60 months","Fully Paid","other","Source Verified"
211,"A","A3"," 60 months","Fully Paid","other","Verified"
212,"A","A3"," 60 months","Fully Paid","small business","Not Verified"
213,"A","A3"," 60 months","Fully Paid","vacation","Not Verified"
214,"A","A4"," 36 months","Charged Off","Debt consolidation","Not Verified"
215,"A","A4"," 36 months","Charged Off","Debt consolidation","Source Verified"
216,"A","A4"," 36 months","Charged Off","Debt consolidation","Verified"
217,"A","A4"," 36 months","Charged Off","car","Not Verified"
218,"A","A4"," 36 months","Charged Off","car","Source Verified"
219,"A","A4"," 36 months","Charged Off","car","Verified"
220,"A","A4"," 36 months","Charged Off","credit card","Not Verified"
221,"A","A4"," 36 months","Charged Off","credit card","Source Verified"
222,"A","A4"," 36 months","Charged Off","credit card","Verified"
223,"A","A4"," 36 months","Charged Off","educational","Not Verified"
224,"A","A4"," 36 months","Charged Off","home improvement","Not Verified"
225,"A","A4"," 36 months","Charged Off","home improvement","Source Verified"
226,"A","A4"," 36 months","Charged Off","home improvement","Verified"
227,"A","A4"," 36 months","Charged Off","house","Source Verified"
228,"A","A4"," 36 months","Charged Off","major purchase","Not Verified"
229,"A","A4"," 36 months","Charged Off","major purchase","Source Verified"
230,"A","A4"," 36 months","Charged Off","major purchase","Verified"
231,"A","A4"," 36 months","Charged Off","medical","Not Verified"
232,"A","A4"," 36 months","Charged Off","moving","Not Verified"
233,"A","A4"," 36 months","Charged Off","moving","Source Verified"
234,"A","A4"," 36 months","Charged Off","other","Not Verified"
235,"A","A4"," 36 months","Charged Off","other","Source Verified"
236,"A","A4"," 36 months","Charged Off","other","Verified"
237,"A","A4"," 36 months","Charged Off","renewable_energy","Source Verified"
238,"A","A4"," 36 months","Charged Off","renewable_energy","Verified"
239,"A","A4"," 36 months","Charged Off","small business","Not Verified"
240,"A","A4"," 36 months","Charged Off","small business","Source Verified"
241,"A","A4"," 36 months","Charged Off","small business","Verified"
242,"A","A4"," 36 months","Charged Off","vacation","Not Verified"
243,"A","A4"," 36 months","Charged Off","vacation","Verified"
244,"A","A4"," 36 months","Charged Off","wedding","Not Verified"
245,"A","A4"," 36 months","Charged Off","wedding","Verified"
246,"A","A4"," 36 months","Fully Paid","Debt consolidation","Not Verified"
247,"A","A4"," 36 months","Fully Paid","car","Not Verified"
248,"A","A4"," 36 months","Fully Paid","car","Source Verified"
249,"A","A4"," 36 months","Fully Paid","credit card","Source Verified"
250,"A","A4"," 36 months","Fully Paid","car","Verified"
251,"A","A4"," 36 months","Fully Paid","credit card","Not Verified"
252,"A","A4"," 36 months","Fully Paid","Debt consolidation","Verified"
253,"A","A4"," 36 months","Fully Paid","other","Source Verified"
254,"A","A4"," 36 months","Fully Paid","other","Verified"
255,"A","A4"," 36 months","Fully Paid","renewable_energy","Not Verified"
256,"A","A4"," 36 months","Fully Paid","renewable_energy","Source Verified"
257,"A","A4"," 36 months","Fully Paid","small business","Not Verified"
258,"A","A4"," 36 months","Fully Paid","credit card","Verified"
259,"A","A4"," 36 months","Fully Paid","educational","Not Verified"
260,"A","A4"," 36 months","Fully Paid","educational","Source Verified"
261,"A","A4"," 36 months","Fully Paid","educational","Verified"
262,"A","A4"," 36 months","Fully Paid","home improvement","Not Verified"
263,"A","A4"," 36 months","Fully Paid","home improvement","Source Verified"
264,"A","A4"," 36 months","Fully Paid","home improvement","Verified"
265,"A","A4"," 36 months","Fully Paid","house","Not Verified"
266,"A","A4"," 36 months","Fully Paid","house","Source Verified"
267,"A","A4"," 36 months","Fully Paid","house","Verified"
268,"A","A4"," 36 months","Fully Paid","major purchase","Not Verified"
269,"A","A4"," 36 months","Fully Paid","major purchase","Source Verified"
270,"A","A4"," 36 months","Fully Paid","major purchase","Verified"
271,"A","A4"," 36 months","Fully Paid","medical","Not Verified"
272,"A","A4"," 36 months","Fully Paid","medical","Source Verified"
273,"A","A4"," 36 months","Fully Paid","medical","Verified"
274,"A","A4"," 36 months","Fully Paid","moving","Not Verified"
275,"A","A4"," 36 months","Fully Paid","moving","Source Verified"
